ARCHIVO;FECHA;DESCRIPCIÓN;VALOR;
Extracto_202406_Cuentas_de ahorro_2611.xlsx;9-abr;PAGO PSE A Toda Hora  SA;-$ 585.000,00;154
Extracto_202406_Cuentas_de ahorro_2611.xlsx;2-may;PAGO PSE A Toda Hora  SA;-$ 595.000,00;157
Extracto_202406_Cuentas_de ahorro_2611.xlsx;5-jun;PAGO PSE A Toda Hora  SA;-$ 585.000,00;154
Extracto_202409_Cuentas_de ahorro_2611.xlsx;6-jul;PAGO PSE A Toda Hora  SA;-$ 595.000,00;157
Extracto_202409_Cuentas_de ahorro_2611.xlsx;5-ago;PAGO PSE A Toda Hora  SA;-$ 585.000,00;154
Extracto_202409_Cuentas_de ahorro_2611.xlsx;9-sep;PAGO PSE A Toda Hora  SA;-$ 585.000,00;154
Extracto_202412_Cuentas_de ahorro_2611.xlsx;1-oct;PAGO PSE A Toda Hora  SA;-$ 585.000,00;154
Extracto_202412_Cuentas_de ahorro_2611.xlsx;1-nov;PAGO PSE A Toda Hora  SA;-$ 585.000,00;154
Extracto_202412_Cuentas_de ahorro_2611.xlsx;2-dic;PAGO PSE A Toda Hora  SA;-$ 951.200,00;250
Extracto_202503_Cuentas_de ahorro_2611.xlsx;6-feb;PAGO PSE A Toda Hora  SA;-$ 638.200,00;168
Extracto_202509_Cuentas_de ahorro_2611.xlsx;19-ago;PAGO PSE TU COMPRA SAS;-$ 312.205,00;82
Extracto_202509_Cuentas_de ahorro_2611.xlsx;2-sep;PAGO PSE TU COMPRA SAS;-$ 94.927,00;25
Extracto_202509_Cuentas_de ahorro_2611.xlsx;7-sep;PAGO PSE TU COMPRA SAS;-$ 261.063,00;69
Extracto_202509_Cuentas_de ahorro_2611.xlsx;15-sep;PAGO PSE TU COMPRA SAS;-$ 805.036,00;212
Extracto_202512_Cuentas_de ahorro_2611.xlsx;1-oct;PAGO PSE TU COMPRA SAS;-$ 279.911,00;70
Extracto_202512_Cuentas_de ahorro_2611.xlsx;3-oct;PAGO PSE TU COMPRA SAS;-$ 518.509,00;136
Extracto_202512_Cuentas_de ahorro_2611.xlsx;16-oct;PAGO PSE TU COMPRA SAS;-$ 802.222,00;211
Extracto_202512_Cuentas_de ahorro_2611.xlsx;18-oct;PAGO PSE TU COMPRA SAS;-$ 394.708,00;104
Extracto_202512_Cuentas_de ahorro_2611.xlsx;21-oct;PAGO PSE TU COMPRA SAS;-$ 2.000.801,00;527
Extracto_202512_Cuentas_de ahorro_2611.xlsx;31-oct;PAGO PSE TU COMPRA SAS;-$ 397.656,00;105
Extracto_202512_Cuentas_de ahorro_2611.xlsx;19-nov;PAGO PSE TU COMPRA SAS;-$ 383.681,00;101
Extracto_202512_Cuentas_de ahorro_2611.xlsx;19-dic;PAGO PSE TU COMPRA SAS;-$ 992.391,00;260
Extracto_202512_Cuentas_de ahorro_2611.xlsx;23-dic;PAGO PSE TU COMPRA SAS;-$ 232.471,00;61
Extracto_202603_Cuentas_de ahorro_2611.xlsx;15-ene;PAGO PSE TU COMPRA SAS;-$ 1.329.293,00;350
Extracto_202603_Cuentas_de ahorro_2611.xlsx;23-ene;PAGO PSE TU COMPRA SAS;-$ 5.064.590,00;1350
Extracto_202603_Cuentas_de ahorro_2611.xlsx;1-feb;PAGO PSE TU COMPRA SAS;-$ 7.010.944,00;1850
Extracto_202603_Cuentas_de ahorro_2611.xlsx;1-feb;PAGO PSE TU COMPRA SAS;-$ 378.970,00;100
Extracto_202603_Cuentas_de ahorro_2611.xlsx;11-feb;PAGO PSE TU COMPRA SAS;-$ 2.080.771,00;550
;;;-$ 29.629.549,00;
