Ticker,Score,RS,Breakout %,52W High %,Vol Dry-Up,EMA21
COCO,100.0,29.35,2.36,2.31,True,True
SNDK,100.0,163.24,0.72,0.71,True,True
MCB,85.0,-5.71,0.01,1.42,True,True
TGTX,80.0,54.33,2.61,2.55,False,True
CASY,80.0,35.68,1.26,1.25,False,True
ATEX,80.0,199.46,1.18,1.17,False,True
PDFS,80.0,111.0,0.67,0.67,False,True
CRS,80.0,58.74,0.25,0.25,False,True
GEO,80.0,74.43,0.94,0.93,False,True
SNEX,80.0,64.77,1.11,1.1,False,True
VPG,80.0,160.98,0.37,0.37,False,True
CXW,80.0,36.3,1.64,1.61,False,True
CHEF,80.0,32.37,0.12,0.12,False,True
LQDA,80.0,46.33,1.2,1.19,False,True
VIRT,80.0,39.0,1.53,1.51,False,True
VVX,80.0,28.33,1.69,1.66,False,True
MOG-A,80.0,18.08,0.11,0.11,False,True
DAVE,80.0,60.61,2.97,2.88,False,True
LRCX,80.0,50.45,0.63,0.63,False,True
LGND,80.0,20.74,1.57,1.55,False,True
ROST,80.0,18.33,0.59,0.58,False,True
RS,80.0,15.75,0.14,0.14,False,True
SPHR,80.0,51.42,0.78,0.77,False,True
NWPX,80.0,78.75,0.28,0.28,False,True
PGC,80.0,31.13,0.54,0.54,False,True
EXTR,80.0,101.38,0.61,0.61,False,True
SEZL,80.0,97.17,0.36,31.01,True,True
RSI,80.0,63.92,0.48,0.48,False,True
BTSG,80.0,54.37,0.66,0.65,False,True
AMAT,80.0,66.57,0.9,0.89,False,True
PRLB,80.0,37.97,0.92,0.92,False,True
WST,80.0,35.86,1.96,1.92,False,True
ALAB,80.0,124.53,1.33,1.32,False,True
KLIC,80.0,88.81,0.16,0.16,False,True
CARE,80.0,28.02,0.47,0.47,False,True
MKSI,80.0,43.39,0.56,0.56,False,True
ARMK,80.0,36.76,0.42,0.42,False,True
CTS,80.0,20.22,0.18,0.18,False,True
PLXS,80.0,34.01,1.53,1.51,False,True
STLD,80.0,38.04,0.73,0.72,False,True
NUE,80.0,33.08,1.45,1.42,False,True
JBL,80.0,46.23,2.07,2.03,False,True
ENVA,76.9,11.9,0.86,0.85,False,True
ATRO,75.62,10.62,0.16,0.16,False,True
PSTL,75.0,22.52,3.82,3.67,False,True
AMKR,75.0,57.9,4.4,4.21,False,True
KALU,75.0,28.52,3.59,3.46,False,True
SNX,75.0,65.03,3.31,3.2,False,True
VSXY,75.0,24.08,3.17,3.08,False,True
SXT,75.0,26.59,3.79,3.65,False,True
UFCS,75.0,23.73,4.17,4.01,False,True
ARW,75.0,57.36,4.68,4.47,False,True
FTNT,75.0,75.64,3.45,3.34,False,True
NGS,74.45,14.45,3.72,3.59,False,True
LLY,73.8,8.8,1.88,1.84,False,True
PHIN,73.43,8.43,1.5,1.48,False,True
HLIO,73.13,13.13,3.72,3.59,False,True
CCNE,73.0,8.0,0.55,0.55,False,True
KRYS,72.73,7.73,1.53,1.51,False,True
UAL,70.0,-5.71,4.75,5.54,True,True
MNST,69.99,4.99,0.47,0.47,False,True
CW,69.97,4.97,0.89,0.88,False,True
MS,69.6,9.6,3.06,2.97,False,True
STX,65.0,88.37,11.37,10.21,True,True
IESC,65.0,66.58,5.01,4.77,False,True
SHC,65.0,-16.53,2.65,17.43,True,True
LUV,65.0,-20.01,0.98,18.93,True,True
INCY,65.0,-0.44,2.33,3.97,False,True
SFST,65.0,-0.92,0.21,0.79,False,True
ADEA,65.0,78.06,5.14,4.89,False,True
MCY,63.31,3.31,4.43,4.24,False,True
MLI,62.93,2.93,4.17,4.0,False,True
PKE,55.0,40.78,6.38,5.99,False,True
ZVRA,55.0,34.31,10.02,9.11,False,True
KEYS,55.0,42.4,8.87,8.14,False,True
HWM,55.0,16.78,6.05,5.71,False,True
LPG,55.0,42.97,10.52,9.52,False,True
ELA,55.0,95.29,8.0,7.4,False,True
SSSS,55.0,44.77,6.39,6.01,False,True
TER,55.0,27.6,10.63,9.61,False,True
CSCO,55.0,40.1,7.01,6.55,False,True
MRAM,55.0,112.91,112.81,53.01,True,False
VCYT,55.0,18.36,6.58,6.49,False,True
MU,55.0,130.24,9.38,8.58,False,True
CMC,55.0,-12.01,0.62,8.09,False,True
TTMI,55.0,66.75,7.2,6.71,False,True
ADI,55.0,25.89,6.69,6.27,False,True
SEI,55.0,27.65,6.65,6.24,False,True
LC,46.01,6.01,3.51,15.83,False,True
RDVT,45.0,33.0,6.65,13.18,False,True
TWLO,45.0,81.41,15.42,13.36,False,True
SANM,45.0,52.42,16.88,14.45,False,True
TILE,45.0,-11.21,0.93,10.6,False,True
VICR,45.0,71.45,21.42,17.64,False,True
AMD,45.0,94.46,11.87,10.61,False,True
LINC,45.0,69.57,12.37,11.01,False,True
HPE,45.0,108.97,37.29,27.16,False,True
TXN,45.0,25.3,11.58,10.38,False,True
FCFS,45.0,20.98,7.85,7.27,False,False
MTSI,45.0,58.02,11.78,10.54,False,True
FIX,45.0,45.2,12.46,11.08,False,True
MCHP,45.0,15.28,13.39,11.81,False,True
DIOD,45.0,75.72,14.15,12.4,False,True
INOD,45.0,86.43,18.77,15.81,False,True
STRL,45.0,109.52,19.93,16.62,False,True
VSH,45.0,176.88,13.74,12.08,False,True
DY,41.32,11.32,21.93,17.99,False,True
TCMD,40.0,-13.91,5.35,30.24,True,True
FCX,40.0,-4.48,8.67,7.98,False,True
WCC,36.28,6.28,9.79,8.92,False,False
FSLR,36.15,6.15,18.36,15.51,False,True
COHR,35.0,51.36,21.02,17.37,False,False
OOMA,35.0,43.45,26.79,21.13,False,False
ECPG,35.0,38.28,15.17,13.17,False,False
GLW,35.0,49.78,19.78,16.51,False,False
CGNX,35.0,45.19,15.61,13.5,False,False
PWR,35.0,32.59,15.43,13.37,False,False
ROKU,35.0,20.15,11.55,10.36,False,False
MYRG,35.0,53.75,14.03,12.3,False,False
IONQ,35.0,43.45,27.0,31.49,False,False
DAKT,30.0,-21.1,4.59,26.03,False,True
ORN,30.0,-0.44,12.81,11.36,False,True
SCCO,30.0,-20.34,11.54,17.39,False,True
ANET,24.92,4.92,14.96,13.01,False,False
MAMA,20.0,-11.12,11.49,17.14,False,True
HCC,20.0,-3.53,17.41,14.83,False,False
