Ticker,Score,RS,Breakout %,52W High %,Vol Dry-Up,EMA21
COCO,100.0,29.35,2.36,2.31,True,True
SNDK,100.0,163.24,0.72,0.71,True,True
MCB,85.0,-5.71,0.01,1.42,True,True
TGTX,80.0,54.33,2.61,2.55,False,True
CASY,80.0,35.68,1.26,1.25,False,True
ATEX,80.0,199.46,1.18,1.17,False,True
PDFS,80.0,111.0,0.67,0.67,False,True
CRS,80.0,58.74,0.25,0.25,False,True
GEO,80.0,74.43,0.94,0.93,False,True
SNEX,80.0,64.77,1.11,1.1,False,True
VPG,80.0,160.98,0.37,0.37,False,True
CXW,80.0,36.3,1.64,1.61,False,True
CHEF,80.0,32.37,0.12,0.12,False,True
LQDA,80.0,46.33,1.2,1.19,False,True
VIRT,80.0,39.0,1.53,1.51,False,True
VVX,80.0,28.33,1.69,1.66,False,True
MOG-A,80.0,18.08,0.11,0.11,False,True
DAVE,80.0,60.61,2.97,2.88,False,True
LRCX,80.0,50.45,0.63,0.63,False,True
LGND,80.0,20.74,1.57,1.55,False,True
ROST,80.0,18.33,0.59,0.58,False,True
RS,80.0,15.75,0.14,0.14,False,True
SPHR,80.0,51.42,0.78,0.77,False,True
NWPX,80.0,78.75,0.28,0.28,False,True
PGC,80.0,31.13,0.54,0.54,False,True
EXTR,80.0,101.38,0.61,0.61,False,True
SEZL,80.0,97.17,0.36,31.01,True,True
RSI,80.0,63.92,0.48,0.48,False,True
BTSG,80.0,54.37,0.66,0.65,False,True
AMAT,80.0,66.57,0.9,0.89,False,True
PRLB,80.0,37.97,0.92,0.92,False,True
WST,80.0,35.86,1.96,1.92,False,True
ALAB,80.0,124.53,1.33,1.32,False,True
KLIC,80.0,88.81,0.16,0.16,False,True
CARE,80.0,28.02,0.47,0.47,False,True
MKSI,80.0,43.39,0.56,0.56,False,True
ARMK,80.0,36.76,0.42,0.42,False,True
CTS,80.0,20.22,0.18,0.18,False,True
PLXS,80.0,34.01,1.53,1.51,False,True
STLD,80.0,38.04,0.73,0.72,False,True
NUE,80.0,33.08,1.45,1.42,False,True
JBL,80.0,46.23,2.07,2.03,False,True
ENVA,76.9,11.9,0.86,0.85,False,True
ATRO,75.62,10.62,0.16,0.16,False,True
PSTL,75.0,22.52,3.82,3.67,False,True
AMKR,75.0,57.9,4.4,4.21,False,True
KALU,75.0,28.52,3.59,3.46,False,True
SNX,75.0,65.03,3.31,3.2,False,True
VSXY,75.0,24.08,3.17,3.08,False,True
SXT,75.0,26.59,3.79,3.65,False,True
UFCS,75.0,23.73,4.17,4.01,False,True
ARW,75.0,57.36,4.68,4.47,False,True
FTNT,75.0,75.64,3.45,3.34,False,True
NGS,74.45,14.45,3.72,3.59,False,True
LLY,73.8,8.8,1.88,1.84,False,True
PHIN,73.43,8.43,1.5,1.48,False,True
HLIO,73.13,13.13,3.72,3.59,False,True
CCNE,73.0,8.0,0.55,0.55,False,True
KRYS,72.73,7.73,1.53,1.51,False,True
UAL,70.0,-5.71,4.75,5.54,True,True
